LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID109463,109463,7,8.947585105895996,15.27143141062427,13.012980286517864,0.0,109.97678470611572,22,0.65,1,,176.97674418604652,144.0,111.0,398.0,22830.0,71.67695161236881,0.20376819124085904,0.8359113023849821
ID109398,109398,7,7.36543083190918,16.777065493361874,12.367708536773177,0.0,74.98417139053345,15,0.65,1,,197.24806201550388,189.0,124.0,320.0,25445.0,46.585611882813375,0.1764303719643406,1.2699834399803576
ID109528,109528,7,10.80078125,15.27143141062427,13.012980286517864,0.0,149.9683427810669,30,0.65,1,,187.58139534883722,141.0,109.0,536.0,24198.0,100.27195034586089,0.22071092109494717,0.6764742793460308
ID109275,109275,7,7.013500213623047,15.4865219938725,12.797889703269636,0.0,34.992613315582275,7,0.65,1,,167.1782945736434,138.0,114.0,364.0,21566.0,60.46466550964951,0.15173865492507632,0.7285351639321532
ID109471,109471,7,7.414247989654541,16.2393390352413,12.69034441164552,0.0,114.97572946548462,23,0.65,1,,180.0077519379845,159.0,119.0,346.0,23221.0,55.515411166071566,0.16780338211187243,0.9318341539172335
ID109535,109535,7,7.20237922668457,15.809157868744844,12.69034441164552,0.0,154.9672875404358,31,0.65,1,,171.34883720930233,143.0,116.0,366.0,22104.0,60.590022276102566,0.15609870603000658,0.7636853034790512
ID109342,109342,7,6.475127696990967,15.594067285496614,12.90543499489375,0.0,44.99050283432007,9,0.65,1,,166.45736434108528,143.0,115.0,333.0,21473.0,53.133970970783196,0.14654161165972693,0.8008144068672279
ID109408,109408,7,6.533796310424805,15.594067285496614,12.69034441164552,0.0,84.98206090927124,17,0.65,1,,163.66666666666666,138.0,111.0,349.0,21113.0,56.71947600545453,0.14420648472096112,0.7273415681792644
ID109351,109351,7,6.37302827835083,16.66952020173776,12.367708536773177,0.0,49.989447593688965,10,0.65,1,,186.52713178294573,179.0,133.0,269.0,24062.0,35.600886031674975,0.15922190921761686,1.4392871484940895
ID109543,109543,7,10.744029998779297,15.163886119000155,13.012980286517864,0.0,159.9662322998047,32,0.65,1,,186.70542635658916,140.0,110.0,517.0,24085.0,96.72685471703095,0.22248312446792018,0.7025772328673857
